,date,FLOODING,orbit,filename,folder,count
2,2019-02-09,False,ASCENDING,S1B_IW_GRDH_1SDV_20190209T163240_20190209T163305_014871_01BC1F_7E74,0063,2
1,2019-01-28,False,ASCENDING,S1B_IW_GRDH_1SDV_20190128T163241_20190128T163306_014696_01B65E_5615,0063,2
14,2019-04-24,True,DESCENDING,S1A_IW_GRDH_1SDV_20190424T031707_20190424T031732_026926_03077A_B45D,0200,14
13,2019-04-17,True,ASCENDING,S1B_IW_GRDH_1SDV_20190417T162251_20190417T162320_015848_01DC3E_114B,0200,14
12,2019-04-12,True,DESCENDING,S1A_IW_GRDH_1SDV_20190412T031706_20190412T031731_026751_030125_194F,0200,14
11,2019-04-05,True,ASCENDING,S1B_IW_GRDH_1SDV_20190405T162250_20190405T162319_015673_01D66F_C65F,0200,14
10,2019-03-31,True,DESCENDING,S1A_IW_GRDH_1SDV_20190331T031706_20190331T031731_026576_02FABC_DD51,0200,14
9,2019-03-30,True,ASCENDING,S1A_IW_GRDH_1SDV_20190330T162340_20190330T162405_026569_02FA83_35E1,0200,14
8,2019-03-25,True,DESCENDING,S1B_IW_GRDH_1SDV_20190325T031623_20190325T031648_015505_01D0E3_8490,0200,14
7,2019-03-24,True,ASCENDING,S1B_IW_GRDH_1SDV_20190324T162250_20190324T162319_015498_01D0A4_18F9,0200,14
6,2019-03-19,True,DESCENDING,S1A_IW_GRDH_1SDV_20190319T031705_20190319T031730_026401_02F44F_2D37,0200,14
5,2019-03-18,True,ASCENDING,S1A_IW_GRDH_1SDV_20190318T162351_20190318T162420_026394_02F415_5335,0200,14
4,2019-03-12,False,ASCENDING,S1B_IW_GRDH_1SDV_20190312T162250_20190312T162319_015323_01CAFA_CAE4,0200,14
3,2019-03-07,False,DESCENDING,S1A_IW_GRDH_1SDV_20190307T031705_20190307T031730_026226_02EDD4_6209,0200,14
2,2019-02-28,False,ASCENDING,S1B_IW_GRDH_1SDV_20190228T162250_20190228T162319_015148_01C539_2FEF,0200,14
1,2019-02-23,False,DESCENDING,S1A_IW_GRDH_1SDV_20190223T031705_20190223T031730_026051_02E795_2CA5,0200,14
12,2019-01-15,False,ASCENDING,S1B_IW_GRDH_1SSV_20190115T172454_20190115T172530_014507_01B057_2CF1,0004,12
11,2019-01-14,False,ASCENDING,S1A_IW_GRDH_1SDV_20190114T173411_20190114T173436_025476_02D2E1_DB2F,0004,12
10,2019-01-14,False,ASCENDING,S1A_IW_GRDH_1SDV_20190114T173346_20190114T173411_025476_02D2E1_C339,0004,12
9,2019-01-09,False,ASCENDING,S1A_IW_GRDH_1SDV_20190109T172603_20190109T172628_025403_02D052_A41A,0004,12
